[2025-10-20 22:51:37.438597] Tempo resposta: 0.035s | CPU antes: 0.0% | CPU depois: 37.5% | RAM antes: 90.9% | RAM depois: 90.9%
[2025-10-20 22:52:10.250707] Tempo resposta: 0.008s | CPU antes: 0.0% | CPU depois: 0.0% | RAM antes: 91.2% | RAM depois: 91.2%
[2025-10-20 22:54:52.181966] Tempo resposta: 0.007s | CPU antes: 0.0% | CPU depois: 50.0% | RAM antes: 92.3% | RAM depois: 92.3%
[2025-10-20 22:57:10.646178] Tempo resposta: 0.009s | CPU antes: 0.0% | CPU depois: 0.0% | RAM antes: 94.3% | RAM depois: 94.3%
[2025-10-20 22:57:17.291532] Tempo resposta: 0.008s | CPU antes: 0.0% | CPU depois: 75.0% | RAM antes: 94.2% | RAM depois: 94.2%
[2025-10-20 22:58:33.628251] Tempo resposta: 0.008s | CPU antes: 0.0% | CPU depois: 0.0% | RAM antes: 96.0% | RAM depois: 96.0%
[2025-10-21 22:02:05.417029] Tempo resposta: 0.089s | CPU antes: 0.0% | CPU depois: 73.9% | RAM antes: 84.7% | RAM depois: 84.8%
[2025-10-21 22:02:09.622918] Tempo resposta: 0.007s | CPU antes: 0.0% | CPU depois: 0.0% | RAM antes: 85.4% | RAM depois: 85.4%
[2025-10-21 22:03:53.868252] Tempo resposta: 0.007s | CPU antes: 0.0% | CPU depois: 25.0% | RAM antes: 85.1% | RAM depois: 85.1%
[2025-10-21 22:07:44.105032] Tempo resposta: 0.009s | CPU antes: 0.0% | CPU depois: 100.0% | RAM antes: 83.5% | RAM depois: 83.4%
[2025-10-21 22:08:59.748389] Tempo resposta: 0.006s | CPU antes: 0.0% | CPU depois: 0.0% | RAM antes: 87.6% | RAM depois: 87.6%
[2025-10-21 22:09:02.866390] Tempo resposta: 0.007s | CPU antes: 0.0% | CPU depois: 75.0% | RAM antes: 85.6% | RAM depois: 85.6%
[2025-10-21 22:11:09.516580] Tempo resposta: 0.006s | CPU antes: 0.0% | CPU depois: 0.0% | RAM antes: 84.7% | RAM depois: 84.7%
[2025-10-21 22:11:12.426021] Tempo resposta: 0.007s | CPU antes: 0.0% | CPU depois: 0.0% | RAM antes: 85.3% | RAM depois: 85.3%
[2025-10-21 22:11:15.529732] Tempo resposta: 0.007s | CPU antes: 0.0% | CPU depois: 0.0% | RAM antes: 85.7% | RAM depois: 85.7%
[2025-10-21 22:12:25.509899] Tempo resposta: 0.006s | CPU antes: 0.0% | CPU depois: 80.0% | RAM antes: 85.4% | RAM depois: 85.4%
[2025-10-21 22:13:25.280458] Tempo resposta: 0.006s | CPU antes: 0.0% | CPU depois: 0.0% | RAM antes: 84.9% | RAM depois: 84.9%
[2025-10-21 22:14:00.221280] Tempo resposta: 0.007s | CPU antes: 0.0% | CPU depois: 0.0% | RAM antes: 87.4% | RAM depois: 87.4%
[2025-10-21 22:15:01.792641] Tempo resposta: 0.007s | CPU antes: 0.0% | CPU depois: 0.0% | RAM antes: 87.0% | RAM depois: 87.0%
